address,time_unix,time,dne,srl,srrn,eda
RP01006,1710921926.964000,2024-03-20 08:05:26.964+00,\N,\N,\N,827186
RP01006,1710921927.297000,2024-03-20 08:05:27.297+00,\N,\N,\N,828823
RP01006,1710921927.630000,2024-03-20 08:05:27.63+00,\N,\N,\N,829438
RP01006,1710921927.963000,2024-03-20 08:05:27.963+00,\N,\N,\N,828618
RP01006,1710921928.296000,2024-03-20 08:05:28.296+00,\N,\N,\N,828414
RP01006,1710921928.629000,2024-03-20 08:05:28.629+00,\N,\N,\N,829233
RP01006,1710921928.962000,2024-03-20 08:05:28.962+00,\N,\N,\N,829848
RP01006,1710921929.295000,2024-03-20 08:05:29.295+00,\N,\N,\N,830669
RP01006,1710921929.628000,2024-03-20 08:05:29.628+00,\N,\N,\N,832723
RP01006,1710921929.961000,2024-03-20 08:05:29.961+00,\N,\N,\N,835814
RP01006,1710921930.294000,2024-03-20 08:05:30.294+00,\N,\N,\N,837260
RP01006,1710921930.627000,2024-03-20 08:05:30.627+00,\N,\N,\N,838708
RP01006,1710921930.960000,2024-03-20 08:05:30.96+00,\N,\N,\N,839951
RP01006,1710921931.293000,2024-03-20 08:05:31.293+00,\N,\N,\N,841612
RP01006,1710921931.626000,2024-03-20 08:05:31.626+00,\N,\N,\N,842859
RP01006,1710921931.959000,2024-03-20 08:05:31.959+00,\N,\N,\N,843691
RP01006,1710921932.292000,2024-03-20 08:05:32.292+00,\N,\N,\N,844732
RP01006,1710921932.625000,2024-03-20 08:05:32.625+00,\N,\N,\N,846401
RP01006,1710921932.958000,2024-03-20 08:05:32.958+00,\N,\N,\N,847237
RP01006,1710921933.291000,2024-03-20 08:05:33.291+00,\N,\N,\N,847446
RP01006,1710921933.624000,2024-03-20 08:05:33.624+00,\N,\N,\N,848491
RP01006,1710921933.957000,2024-03-20 08:05:33.957+00,\N,\N,\N,850167
RP01006,1710921934.290000,2024-03-20 08:05:34.29+00,\N,\N,\N,851846
RP01006,1710921934.623000,2024-03-20 08:05:34.623+00,\N,\N,\N,852476
RP01006,1710921934.956000,2024-03-20 08:05:34.956+00,\N,\N,\N,853317
RP01006,1710921935.289000,2024-03-20 08:05:35.289+00,\N,\N,\N,855212
RP01006,1710921935.622000,2024-03-20 08:05:35.622+00,\N,\N,\N,856055
RP01006,1710921935.955000,2024-03-20 08:05:35.955+00,\N,\N,\N,857111
RP01006,1710921936.288000,2024-03-20 08:05:36.288+00,\N,\N,\N,857745
RP01006,1710921936.621000,2024-03-20 08:05:36.621+00,\N,\N,\N,858379
RP01006,1710921936.954000,2024-03-20 08:05:36.954+00,\N,\N,\N,859649
RP01006,1710921937.287000,2024-03-20 08:05:37.287+00,\N,\N,\N,860284
RP01006,1710921937.620000,2024-03-20 08:05:37.62+00,\N,\N,\N,861345
RP01006,1710921937.953000,2024-03-20 08:05:37.953+00,\N,\N,\N,862194
RP01006,1710921938.286000,2024-03-20 08:05:38.286+00,\N,\N,\N,863256
RP01006,1710921938.619000,2024-03-20 08:05:38.619+00,\N,\N,\N,864107
RP01006,1710921938.952000,2024-03-20 08:05:38.952+00,\N,\N,\N,864958
RP01006,1710921939.285000,2024-03-20 08:05:39.285+00,\N,\N,\N,866237
RP01006,1710921939.618000,2024-03-20 08:05:39.618+00,\N,\N,\N,866877
RP01006,1710921939.951000,2024-03-20 08:05:39.951+00,\N,\N,\N,867304
RP01006,1710921940.284000,2024-03-20 08:05:40.284+00,\N,\N,\N,868373
RP01006,1710921940.617000,2024-03-20 08:05:40.617+00,\N,\N,\N,869228
RP01006,1710921940.950000,2024-03-20 08:05:40.95+00,\N,\N,\N,870084
RP01006,1710921941.283000,2024-03-20 08:05:41.283+00,\N,\N,\N,870727
RP01006,1710921941.626000,2024-03-20 08:05:41.626+00,\N,\N,\N,871156
RP01006,1710921941.959000,2024-03-20 08:05:41.959+00,\N,\N,\N,872873
RP01006,1710921942.292000,2024-03-20 08:05:42.292+00,\N,\N,\N,873517
RP01006,1710921942.625000,2024-03-20 08:05:42.625+00,\N,\N,\N,873947
RP01006,1710921942.958000,2024-03-20 08:05:42.958+00,\N,\N,\N,875238
RP01006,1710921943.291000,2024-03-20 08:05:43.291+00,\N,\N,\N,875454
RP01006,1710921943.624000,2024-03-20 08:05:43.624+00,\N,\N,\N,875885
RP01006,1710921943.957000,2024-03-20 08:05:43.957+00,\N,\N,\N,876963
RP01006,1710921944.290000,2024-03-20 08:05:44.29+00,\N,\N,\N,878042
RP01006,1710921944.623000,2024-03-20 08:05:44.623+00,\N,\N,\N,879555
RP01006,1710921944.956000,2024-03-20 08:05:44.956+00,\N,\N,\N,881288
RP01006,1710921945.289000,2024-03-20 08:05:45.289+00,\N,\N,\N,882806
RP01006,1710921945.622000,2024-03-20 08:05:45.622+00,\N,\N,\N,883892
RP01006,1710921945.955000,2024-03-20 08:05:45.955+00,\N,\N,\N,885632
RP01006,1710921946.288000,2024-03-20 08:05:46.288+00,\N,\N,\N,887376
RP01006,1710921946.621000,2024-03-20 08:05:46.621+00,\N,\N,\N,888685
RP01006,1710921946.954000,2024-03-20 08:05:46.954+00,\N,\N,\N,890216
RP01006,1710921947.287000,2024-03-20 08:05:47.287+00,\N,\N,\N,891968
RP01006,1710921947.620000,2024-03-20 08:05:47.62+00,\N,\N,\N,893064
RP01006,1710921947.953000,2024-03-20 08:05:47.953+00,\N,\N,\N,894382
RP01006,1710921948.286000,2024-03-20 08:05:48.286+00,\N,\N,\N,896142
RP01006,1710921948.619000,2024-03-20 08:05:48.619+00,\N,\N,\N,897684
RP01006,1710921948.952000,2024-03-20 08:05:48.952+00,\N,\N,\N,899008
RP01006,1710921949.285000,2024-03-20 08:05:49.285+00,\N,\N,\N,899892
RP01006,1710921949.618000,2024-03-20 08:05:49.618+00,\N,\N,\N,901440
RP01006,1710921949.951000,2024-03-20 08:05:49.951+00,\N,\N,\N,903213
RP01006,1710921950.284000,2024-03-20 08:05:50.284+00,\N,\N,\N,904101
RP01006,1710921950.617000,2024-03-20 08:05:50.617+00,\N,\N,\N,904989
RP01006,1710921950.950000,2024-03-20 08:05:50.95+00,\N,\N,\N,906769
RP01006,1710921951.283000,2024-03-20 08:05:51.283+00,\N,\N,\N,907883
RP01006,1710921951.616000,2024-03-20 08:05:51.616+00,\N,\N,\N,907883
RP01006,1710921951.949000,2024-03-20 08:05:51.949+00,\N,\N,\N,906546
RP01006,1710921952.282000,2024-03-20 08:05:52.282+00,\N,\N,\N,906991
RP01006,1710921952.615000,2024-03-20 08:05:52.615+00,\N,\N,\N,909667
RP01006,1710921952.948000,2024-03-20 08:05:52.948+00,\N,\N,\N,912127
RP01006,1710921953.281000,2024-03-20 08:05:53.281+00,\N,\N,\N,913695
RP01006,1710921953.614000,2024-03-20 08:05:53.614+00,\N,\N,\N,915042
RP01006,1710921953.947000,2024-03-20 08:05:53.947+00,\N,\N,\N,916615
RP01006,1710921954.280000,2024-03-20 08:05:54.28+00,\N,\N,\N,918191
RP01006,1710921954.613000,2024-03-20 08:05:54.613+00,\N,\N,\N,919544
RP01006,1710921954.946000,2024-03-20 08:05:54.946+00,\N,\N,\N,921577
RP01006,1710921955.279000,2024-03-20 08:05:55.279+00,\N,\N,\N,923161
RP01006,1710921955.612000,2024-03-20 08:05:55.612+00,\N,\N,\N,924294
RP01006,1710921955.945000,2024-03-20 08:05:55.945+00,\N,\N,\N,925655
RP01006,1710921956.278000,2024-03-20 08:05:56.278+00,\N,\N,\N,926791
RP01006,1710921956.611000,2024-03-20 08:05:56.611+00,\N,\N,\N,928156
RP01006,1710921956.944000,2024-03-20 08:05:56.944+00,\N,\N,\N,929751
RP01006,1710921957.277000,2024-03-20 08:05:57.277+00,\N,\N,\N,930663
RP01006,1710921957.610000,2024-03-20 08:05:57.61+00,\N,\N,\N,931805
RP01006,1710921957.943000,2024-03-20 08:05:57.943+00,\N,\N,\N,933177
RP01006,1710921958.276000,2024-03-20 08:05:58.276+00,\N,\N,\N,934322
RP01006,1710921958.609000,2024-03-20 08:05:58.609+00,\N,\N,\N,935468
RP01006,1710921958.942000,2024-03-20 08:05:58.942+00,\N,\N,\N,936616
RP01006,1710921959.275000,2024-03-20 08:05:59.275+00,\N,\N,\N,937305
RP01006,1710921959.608000,2024-03-20 08:05:59.608+00,\N,\N,\N,938225
RP01006,1710921959.941000,2024-03-20 08:05:59.941+00,\N,\N,\N,938225
RP01006,1710921960.274000,2024-03-20 08:06:00.274+00,\N,\N,\N,938225
RP01006,1710921960.607000,2024-03-20 08:06:00.607+00,\N,\N,\N,939606
RP01006,1710921960.940000,2024-03-20 08:06:00.94+00,\N,\N,\N,940989
RP01006,1710921961.273000,2024-03-20 08:06:01.273+00,\N,\N,\N,941451
RP01006,1710921961.606000,2024-03-20 08:06:01.606+00,\N,\N,\N,942836
RP01006,1710921961.939000,2024-03-20 08:06:01.939+00,\N,\N,\N,945150
RP01006,1710921962.272000,2024-03-20 08:06:02.272+00,\N,\N,\N,946541
RP01006,1710921962.605000,2024-03-20 08:06:02.605+00,\N,\N,\N,948399
RP01006,1710921962.938000,2024-03-20 08:06:02.938+00,\N,\N,\N,950028
RP01006,1710921963.271000,2024-03-20 08:06:03.271+00,\N,\N,\N,951426
RP01006,1710921963.604000,2024-03-20 08:06:03.604+00,\N,\N,\N,953059
RP01006,1710921963.937000,2024-03-20 08:06:03.937+00,\N,\N,\N,954462
RP01006,1710921964.270000,2024-03-20 08:06:04.27+00,\N,\N,\N,955866
RP01006,1710921964.603000,2024-03-20 08:06:04.603+00,\N,\N,\N,955632
RP01006,1710921964.936000,2024-03-20 08:06:04.936+00,\N,\N,\N,957038
RP01006,1710921965.269000,2024-03-20 08:06:05.269+00,\N,\N,\N,957976
RP01006,1710921965.602000,2024-03-20 08:06:05.602+00,\N,\N,\N,958681
RP01006,1710921965.935000,2024-03-20 08:06:05.935+00,\N,\N,\N,960091
RP01006,1710921966.268000,2024-03-20 08:06:06.268+00,\N,\N,\N,960562
RP01006,1710921966.601000,2024-03-20 08:06:06.601+00,\N,\N,\N,961975
RP01006,1710921966.934000,2024-03-20 08:06:06.934+00,\N,\N,\N,963626
